Luminosity:  35867.059983
dimu_hO3_4ZZ_Nplus: 0.000000
dimu_hO3_4ZZ_Nplus_err: 0.000000
dimu_hO3_4ZZ_fplus: -nan
dimu_hO3_4ZZ_Nminus: 0.000000
dimu_hO3_4ZZ_Nminus_err: 0.000000
dimu_hO3_4ZZ_fminus: -nan
dimu_hO3_4ZZ_total: 0.000000

dimu_hO3_4Data_asym: -0.400000
dimu_hO3_4Data_asym_err: 0.289828
dimu_hO3_4Data_Nplus: 3.000000
dimu_hO3_4Data_Nplus_err: 3.000000
dimu_hO3_4Data_fplus: 0.300000
dimu_hO3_4Data_Nminus: 7.000000
dimu_hO3_4Data_Nminus_err: 5.146264
dimu_hO3_4Data_fminus: 0.700000
dimu_hO3_4Data_total: 10.000000

